City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
276,Souris,CA,49.6172,-100.2612,81.73,63,0,2.8,clear sky
277,Luderitz,NA,-26.6481,15.1594,72.03,30,0,6.49,clear sky
278,Hirakud,IN,21.5167,83.8667,77.59,95,100,5.21,overcast clouds
279,Mitsamiouli,KM,-11.3847,43.2844,75.49,64,20,4.61,few clouds
280,Hambantota,LK,6.1241,81.1185,79.14,94,20,8.05,few clouds
281,Egvekinot,RU,66.3167,-179.1667,42.19,63,88,3.91,overcast clouds
282,Dikson,RU,73.5069,80.5464,47.39,72,100,8.25,overcast clouds
283,Chumikan,RU,54.7183,135.315,52.65,99,100,4.38,overcast clouds
284,Cabinda,AO,-5.55,12.2,73.54,83,20,4.61,few clouds
285,Divnomorskoye,RU,44.5011,38.1353,77.63,54,0,9.78,clear sky
286,Conneaut,US,41.9476,-80.5542,83.5,44,85,6.31,overcast clouds
287,Lensk,RU,60.7253,114.9278,63.41,100,100,3.0,moderate rain
288,Phalaborwa,ZA,-23.943,31.1411,63.68,61,23,5.28,few clouds
289,Kimberley,ZA,-28.7323,24.7623,46.09,57,0,1.14,clear sky
290,Along,IN,28.1667,94.7667,76.1,96,2,2.17,clear sky
291,Ola,RU,59.5833,151.2833,61.14,97,100,1.61,light rain
292,Muros,ES,42.7762,-9.0603,80.17,82,100,3.27,overcast clouds
293,Saskylakh,RU,71.9167,114.0833,47.05,69,30,2.48,scattered clouds
294,Yumen,CN,40.2833,97.2,69.01,43,100,5.3,overcast clouds
295,Honningsvag,NO,70.9821,25.9704,56.95,72,20,13.8,few clouds
296,Faanui,PF,-16.4833,-151.75,77.76,60,50,20.29,scattered clouds
297,Hofn,IS,64.2539,-15.2082,53.62,82,75,9.22,broken clouds
298,Pisco,PE,-13.7,-76.2167,66.25,68,20,10.36,few clouds
299,Vanimo,PG,-2.6741,141.3028,76.19,91,98,4.97,overcast clouds
300,Calvinia,ZA,-31.4707,19.776,56.91,40,46,7.38,scattered clouds
301,Quthing,LS,-30.4,27.7003,48.92,41,0,1.23,clear sky
302,Richards Bay,ZA,-28.783,32.0377,62.01,83,40,2.13,scattered clouds
303,Jablah,SY,35.3614,35.9256,80.89,83,40,4.61,scattered clouds
304,Victoria,HK,22.2855,114.1577,87.19,82,100,10.0,overcast clouds
305,Christchurch,NZ,-43.5333,172.6333,35.8,77,38,5.75,scattered clouds
306,Saint Anthony,US,45.0205,-93.218,88.18,61,20,8.05,few clouds
307,Ganzhou,CN,28.8184,115.4327,81.63,77,100,3.94,overcast clouds
308,Alofi,NU,-19.0595,-169.9187,73.29,83,98,9.22,overcast clouds
309,Dungarpur,IN,23.8333,73.7167,78.12,92,97,10.45,overcast clouds
310,Lagoa,PT,39.05,-27.9833,69.57,88,10,14.92,clear sky
311,Parkent,UZ,41.2944,69.6764,78.62,21,0,5.84,clear sky
312,Washington,US,47.5001,-120.5015,85.48,23,8,4.25,clear sky
313,Ampanihy,MG,-24.7,44.75,63.54,87,0,9.6,clear sky
314,Rafaela,AR,-31.2503,-61.4867,62.01,53,100,11.01,overcast clouds
315,Nacala,MZ,-14.5428,40.6728,70.2,64,4,9.48,clear sky
316,Itaituba,BR,-4.2761,-55.9836,95.16,49,20,9.22,thunderstorm
317,Agirish,RU,61.9247,63.0231,66.18,85,11,4.05,light rain
318,Papayal,PE,-4.0761,-80.7361,82.87,50,20,9.26,few clouds
319,Weyburn,CA,49.6668,-103.8511,80.82,65,18,13.8,few clouds
320,Morgan City,US,29.6994,-91.2068,87.01,71,100,1.68,overcast clouds
321,Saint-Georges,GD,12.0564,-61.7485,80.28,89,75,23.02,broken clouds
322,Barabai,ID,-2.5833,115.3833,73.4,96,89,0.81,overcast clouds
323,Thompson,CA,55.7435,-97.8558,80.76,34,40,10.36,smoke
324,Tlmace,SK,48.2893,18.5315,63.93,50,81,8.52,broken clouds
325,Grand Island,US,40.925,-98.342,93.15,46,0,9.22,clear sky
326,Varzea Grande,BR,-15.6467,-56.1325,94.87,34,0,12.66,clear sky
327,Palmer,US,42.1584,-72.3287,84.92,39,20,3.44,few clouds
328,Cherdyn,RU,60.403,56.4787,61.84,93,99,4.23,overcast clouds
329,Auki,SB,-8.7676,160.7034,75.72,86,100,3.89,overcast clouds
330,Gornopravdinsk,RU,60.05,69.9,61.95,95,78,3.96,moderate rain
331,Jiayuguan,CN,39.8167,98.3,70.02,45,100,2.13,overcast clouds
332,Milas,TR,37.3164,27.7839,78.15,57,0,9.22,clear sky
333,Elliot Lake,CA,46.3834,-82.6331,73.22,34,100,7.16,overcast clouds
334,Salinas,US,36.6777,-121.6555,74.21,68,0,12.66,clear sky
335,Coquimbo,CL,-29.9533,-71.3436,55.13,62,40,12.66,scattered clouds
336,Tukrah,LY,32.5341,20.5791,77.23,65,0,10.07,clear sky
337,Karratha,AU,-20.7377,116.8463,63.59,48,0,3.69,clear sky
338,Aras,ES,42.5617,-2.356,93.61,16,0,8.05,clear sky
339,Nanakuli,US,21.3906,-158.1547,80.55,63,100,8.05,overcast clouds
340,Harstad,NO,68.799,16.5293,51.19,100,100,8.99,light rain
341,Nanyang,CN,32.9947,112.5328,82.31,80,100,1.66,overcast clouds
342,Banjarmasin,ID,-3.3244,114.591,77.14,93,91,2.84,light rain
343,Natal,BR,-5.795,-35.2094,84.42,70,75,19.57,broken clouds
